Customer ID,total_spend,purchase_frequency,avg_basket_size,cat_diversity,recency,gap,age
CUST001,108463.86,8,3.2125,10,605,2.65,24
CUST002,74279.45,10,3.358490566037736,9,578,5.0,35
CUST003,62369.9,8,2.9423076923076925,9,580,4.3076923076923075,26
CUST004,30660.58,3,2.65,5,571,14.25,25
CUST005,71997.45,5,3.020408163265306,9,640,4.877551020408164,29
CUST006,23434.260000000002,3,3.1666666666666665,9,629,10.444444444444445,50
CUST007,66594.02,6,3.2790697674418605,8,634,3.9767441860465116,33
CUST008,70912.33,8,2.6666666666666665,8,587,4.507936507936508,46
CUST009,21514.41,5,2.7857142857142856,6,607,20.357142857142858,21
CUST010,51390.25,4,3.3636363636363638,7,591,7.787878787878788,54
CUST011,57793.41,5,3.1142857142857143,9,551,8.457142857142857,28
CUST012,15828.220000000001,2,3.888888888888889,5,651,0.3333333333333333,47
CUST013,27732.63,4,3.0,8,624,6.5,29
CUST014,27634.06,4,3.111111111111111,8,550,11.222222222222221,42
CUST015,95009.05,8,2.966666666666667,9,559,4.933333333333334,53
CUST016,17286.1,4,3.2,7,610,10.133333333333333,56
CUST017,101181.54,9,3.262295081967213,8,618,3.4754098360655736,22
CUST018,32465.29,5,3.0689655172413794,10,597,5.758620689655173,55
CUST019,32953.89,4,3.1739130434782608,9,558,13.608695652173912,50
CUST020,63114.66,6,3.1,9,535,7.5,52
CUST021,76304.27,6,3.268292682926829,7,531,8.292682926829269,63
CUST022,123217.8,10,2.781609195402299,9,589,2.8620689655172415,32
CUST023,74464.97,7,3.54,9,549,6.58,47
CUST024,68780.59,6,3.2,9,542,5.325,55
CUST025,66459.12,4,3.375,8,611,6.65,64
CUST026,152223.72,11,2.967032967032967,10,580,3.3736263736263736,28
CUST027,58583.33,4,3.2037037037037037,8,657,4.185185185185185,20
CUST028,71733.26,4,3.5483870967741935,7,538,9.258064516129032,57
CUST029,47616.47,4,3.2857142857142856,9,617,7.0,64
CUST030,88144.42,7,2.9315068493150687,9,675,2.780821917808219,44
CUST031,79304.15,6,3.425925925925926,10,587,5.388888888888889,20
CUST032,63658.9,6,3.081081081081081,7,608,6.216216216216216,55
CUST033,55048.69,6,2.7906976744186047,8,539,6.162790697674419,47
CUST034,36965.64,5,2.6923076923076925,9,542,11.5,28
CUST035,159726.56,10,3.1627906976744184,10,531,2.751937984496124,44
CUST036,78818.68,5,2.6666666666666665,10,551,5.96078431372549,20
CUST037,99486.77,7,2.6973684210526314,10,554,3.1842105263157894,45
CUST038,32156.22,5,2.3421052631578947,9,551,8.5,42
CUST039,90409.04,7,3.16,8,539,6.6,62
CUST040,19225.34,5,3.533333333333333,6,607,15.466666666666667,46
CUST041,37601.08,4,3.466666666666667,9,565,6.733333333333333,18
CUST042,118966.26,11,2.9135802469135803,10,605,2.9876543209876543,62
CUST043,7368.51,1,3.0,5,737,0.0,56
CUST044,71149.37,6,2.8181818181818183,6,573,6.181818181818182,33
CUST045,96614.97,9,2.971830985915493,9,559,4.535211267605634,37
CUST046,28817.7,4,2.75,7,564,9.25,61
CUST047,23295.25,4,2.15,6,600,14.3,52
CUST048,60465.92,5,2.8636363636363638,10,625,5.295454545454546,63
CUST049,110908.37,6,3.274193548387097,10,529,5.806451612903226,56
CUST050,35850.5,4,2.717948717948718,9,583,6.641025641025641,52
CUST051,96537.56999999999,13,3.0454545454545454,10,551,4.196969696969697,37
CUST052,118363.09,9,2.9220779220779223,9,551,4.233766233766234,22
