Order ID,Product ID,SKU ID,Category,Quantity,Price per Unit,Sales
4248,Product_187,SKU_484,Home Appliances,2,786.1,1572.2
4248,Product_056,SKU_689,Electronics,2,864.04,1728.08
4248,Product_009,SKU_234,Home Appliances,5,604.22,3021.1000000000004
4248,Product_126,SKU_651,Beauty & Personal Care,3,28.26,84.78
4248,Product_040,SKU_534,Health & Wellness,1,203.58,203.58
2488,Product_025,SKU_278,Toys & Games,3,583.31,1749.9299999999998
2488,Product_179,SKU_971,Home Appliances,4,758.13,3032.52
2488,Product_122,SKU_375,Electronics,1,738.36,738.36
2488,Product_001,SKU_980,Health & Wellness,5,286.42,1432.1000000000001
2488,Product_080,SKU_415,Health & Wellness,5,179.37,896.85
2488,Product_046,SKU_469,Fashion & Apparel,3,407.4,1222.1999999999998
2488,Product_162,SKU_539,Health & Wellness,3,445.12,1335.3600000000001
2488,Product_141,SKU_887,Books & Media,4,970.93,3883.72
8831,Product_089,SKU_343,Sports & Outdoors,2,468.64,937.28
5512,Product_128,SKU_130,Home Appliances,5,59.36,296.8
5512,Product_072,SKU_777,Electronics,3,221.97,665.91
5512,Product_061,SKU_074,Toys & Games,4,163.54,654.16
6401,Product_119,SKU_525,Home Appliances,5,585.54,2927.7
6401,Product_171,SKU_636,Toys & Games,1,451.95,451.95
6401,Product_074,SKU_773,Beauty & Personal Care,4,95.37,381.48
6401,Product_157,SKU_565,Home Appliances,1,532.95,532.95
6401,Product_137,SKU_095,Home Appliances,1,840.03,840.03
6401,Product_164,SKU_943,Electronics,4,117.89,471.56
6401,Product_138,SKU_242,Toys & Games,5,314.56,1572.8
6401,Product_056,SKU_310,Electronics,5,114.1,570.5
6401,Product_008,SKU_058,Fashion & Apparel,2,804.56,1609.12
6401,Product_176,SKU_187,Health & Wellness,5,328.39,1641.9499999999998
6401,Product_064,SKU_256,Fashion & Apparel,3,740.23,2220.69
6401,Product_062,SKU_970,Toys & Games,3,690.42,2071.2599999999998
4060,Product_132,SKU_368,Health & Wellness,2,275.71,551.42
4060,Product_149,SKU_442,Groceries & Gourmet Food,4,786.04,3144.16
4060,Product_127,SKU_097,Books & Media,1,107.76,107.76
4060,Product_177,SKU_212,Toys & Games,4,350.11,1400.44
4060,Product_045,SKU_118,Automotive,2,751.92,1503.84
222,Product_165,SKU_702,Groceries & Gourmet Food,5,664.81,3324.0499999999997
222,Product_161,SKU_787,Fashion & Apparel,4,629.53,2518.12
222,Product_173,SKU_500,Fashion & Apparel,1,430.86,430.86
2558,Product_199,SKU_422,Automotive,2,200.97,401.94
2558,Product_061,SKU_922,Toys & Games,4,348.2,1392.8
2558,Product_113,SKU_066,Home Appliances,4,451.02,1804.08
2558,Product_139,SKU_563,Home Appliances,4,451.75,1807.0
2558,Product_197,SKU_208,Electronics,3,89.39,268.17
2558,Product_038,SKU_714,Health & Wellness,2,301.94,603.88
3672,Product_077,SKU_474,Automotive,3,160.43,481.29
3672,Product_072,SKU_473,Electronics,2,203.4,406.8
3672,Product_176,SKU_603,Health & Wellness,3,254.82,764.46
6428,Product_151,SKU_329,Automotive,4,297.74,1190.96
635,Product_108,SKU_078,Books & Media,4,437.25,1749.0
635,Product_116,SKU_232,Home Appliances,5,476.53,2382.6499999999996
2165,Product_190,SKU_127,Groceries & Gourmet Food,4,751.99,3007.96
2165,Product_067,SKU_747,Home Appliances,3,880.43,2641.29
2165,Product_149,SKU_752,Groceries & Gourmet Food,2,176.53,353.06
2165,Product_185,SKU_575,Beauty & Personal Care,4,49.63,198.52
2165,Product_115,SKU_044,Health & Wellness,4,587.71,2350.84
9624,Product_182,SKU_573,Beauty & Personal Care,5,87.85,439.25
9624,Product_014,SKU_918,Beauty & Personal Care,1,75.64,75.64
9624,Product_179,SKU_633,Home Appliances,4,89.89,359.56
6023,Product_027,SKU_411,Books & Media,2,107.57,215.14
6023,Product_079,SKU_376,Sports & Outdoors,1,405.79,405.79
