Product ID,SKU ID,Category,Price per Unit
Product_187,SKU_484,Home Appliances,786.1
Product_056,SKU_689,Electronics,864.04
Product_009,SKU_234,Home Appliances,604.22
Product_126,SKU_651,Beauty & Personal Care,28.26
Product_040,SKU_534,Health & Wellness,203.58
Product_025,SKU_278,Toys & Games,583.31
Product_179,SKU_971,Home Appliances,758.13
Product_122,SKU_375,Electronics,738.36
Product_001,SKU_980,Health & Wellness,286.42
Product_080,SKU_415,Health & Wellness,179.37
Product_046,SKU_469,Fashion & Apparel,407.4
Product_162,SKU_539,Health & Wellness,445.12
Product_141,SKU_887,Books & Media,970.93
Product_089,SKU_343,Sports & Outdoors,468.64
Product_128,SKU_130,Home Appliances,59.36
Product_072,SKU_777,Electronics,221.97
Product_061,SKU_074,Toys & Games,163.54
Product_119,SKU_525,Home Appliances,585.54
Product_171,SKU_636,Toys & Games,451.95
Product_074,SKU_773,Beauty & Personal Care,95.37
Product_157,SKU_565,Home Appliances,532.95
Product_137,SKU_095,Home Appliances,840.03
Product_164,SKU_943,Electronics,117.89
Product_138,SKU_242,Toys & Games,314.56
Product_056,SKU_310,Electronics,114.1
Product_008,SKU_058,Fashion & Apparel,804.56
Product_176,SKU_187,Health & Wellness,328.39
Product_064,SKU_256,Fashion & Apparel,740.23
Product_062,SKU_970,Toys & Games,690.42
Product_132,SKU_368,Health & Wellness,275.71
Product_149,SKU_442,Groceries & Gourmet Food,786.04
Product_127,SKU_097,Books & Media,107.76
Product_177,SKU_212,Toys & Games,350.11
Product_045,SKU_118,Automotive,751.92
Product_165,SKU_702,Groceries & Gourmet Food,664.81
Product_161,SKU_787,Fashion & Apparel,629.53
Product_173,SKU_500,Fashion & Apparel,430.86
Product_199,SKU_422,Automotive,200.97
Product_061,SKU_922,Toys & Games,348.2
Product_113,SKU_066,Home Appliances,451.02
Product_139,SKU_563,Home Appliances,451.75
Product_197,SKU_208,Electronics,89.39
Product_038,SKU_714,Health & Wellness,301.94
Product_077,SKU_474,Automotive,160.43
Product_072,SKU_473,Electronics,203.4
Product_176,SKU_603,Health & Wellness,254.82
Product_151,SKU_329,Automotive,297.74
Product_108,SKU_078,Books & Media,437.25
Product_116,SKU_232,Home Appliances,476.53
Product_190,SKU_127,Groceries & Gourmet Food,751.99
Product_067,SKU_747,Home Appliances,880.43
Product_149,SKU_752,Groceries & Gourmet Food,176.53
Product_185,SKU_575,Beauty & Personal Care,49.63
Product_115,SKU_044,Health & Wellness,587.71
Product_182,SKU_573,Beauty & Personal Care,87.85
Product_014,SKU_918,Beauty & Personal Care,75.64
Product_179,SKU_633,Home Appliances,89.89
Product_027,SKU_411,Books & Media,107.57
Product_079,SKU_376,Sports & Outdoors,405.79
Product_169,SKU_727,Automotive,626.44
Product_083,SKU_402,Toys & Games,422.43
Product_159,SKU_199,Electronics,622.58
Product_117,SKU_676,Books & Media,302.88
Product_037,SKU_812,Electronics,981.43
Product_086,SKU_538,Electronics,340.66
Product_122,SKU_803,Electronics,348.94
Product_001,SKU_314,Health & Wellness,690.96
Product_074,SKU_773,Beauty & Personal Care,31.79
Product_198,SKU_815,Health & Wellness,669.45
Product_084,SKU_146,Groceries & Gourmet Food,433.79
Product_157,SKU_961,Home Appliances,458.34
Product_042,SKU_086,Books & Media,141.0
Product_016,SKU_529,Home Appliances,488.7
Product_110,SKU_798,Health & Wellness,387.05
Product_023,SKU_602,Beauty & Personal Care,90.38
Product_091,SKU_807,Books & Media,297.67
Product_156,SKU_245,Beauty & Personal Care,88.69
Product_101,SKU_059,Health & Wellness,599.46
Product_067,SKU_819,Home Appliances,902.54
Product_193,SKU_581,Fashion & Apparel,865.81
Product_158,SKU_607,Groceries & Gourmet Food,66.27
Product_175,SKU_841,Fashion & Apparel,661.18
Product_161,SKU_647,Fashion & Apparel,366.87
Product_004,SKU_988,Beauty & Personal Care,21.36
Product_032,SKU_762,Electronics,298.45
Product_171,SKU_636,Toys & Games,225.59
Product_004,SKU_290,Beauty & Personal Care,68.2
Product_111,SKU_640,Electronics,181.22
Product_101,SKU_194,Health & Wellness,917.02
Product_130,SKU_888,Fashion & Apparel,401.59
Product_010,SKU_324,Books & Media,239.89
Product_064,SKU_038,Fashion & Apparel,779.96
Product_073,SKU_596,Beauty & Personal Care,95.4
Product_075,SKU_508,Home Appliances,606.49
Product_063,SKU_671,Health & Wellness,438.16
Product_037,SKU_801,Electronics,55.75
Product_185,SKU_837,Beauty & Personal Care,68.33
Product_031,SKU_528,Sports & Outdoors,706.14
Product_117,SKU_621,Books & Media,799.42
Product_004,SKU_055,Beauty & Personal Care,24.95
Product_116,SKU_628,Home Appliances,354.56
Product_118,SKU_674,Toys & Games,345.1
Product_177,SKU_237,Toys & Games,217.3
Product_104,SKU_073,Fashion & Apparel,92.96
Product_034,SKU_723,Automotive,770.75
Product_113,SKU_976,Home Appliances,993.2
Product_186,SKU_041,Toys & Games,783.74
Product_113,SKU_102,Home Appliances,830.06
Product_076,SKU_611,Fashion & Apparel,595.23
Product_132,SKU_893,Health & Wellness,68.55
Product_198,SKU_369,Health & Wellness,980.89
Product_143,SKU_109,Fashion & Apparel,666.82
Product_123,SKU_294,Automotive,381.23
Product_146,SKU_193,Sports & Outdoors,511.99
Product_113,SKU_066,Home Appliances,910.56
Product_085,SKU_625,Books & Media,592.77
Product_096,SKU_665,Home Appliances,53.58
Product_029,SKU_873,Automotive,945.76
Product_060,SKU_475,Books & Media,708.42
Product_003,SKU_697,Toys & Games,77.64
Product_147,SKU_736,Electronics,312.45
Product_106,SKU_054,Books & Media,301.37
Product_151,SKU_781,Automotive,99.82
Product_034,SKU_723,Automotive,832.62
Product_093,SKU_715,Books & Media,628.09
Product_021,SKU_003,Groceries & Gourmet Food,957.31
Product_014,SKU_877,Beauty & Personal Care,81.64
Product_104,SKU_926,Fashion & Apparel,829.44
Product_129,SKU_205,Fashion & Apparel,230.08
Product_156,SKU_245,Beauty & Personal Care,21.26
Product_182,SKU_061,Beauty & Personal Care,29.72
Product_170,SKU_252,Books & Media,820.62
Product_091,SKU_562,Books & Media,998.51
Product_141,SKU_545,Books & Media,185.56
Product_045,SKU_118,Automotive,391.74
Product_028,SKU_859,Books & Media,405.99
Product_171,SKU_096,Toys & Games,249.34
Product_170,SKU_252,Books & Media,55.61
Product_088,SKU_393,Electronics,204.59
Product_052,SKU_040,Health & Wellness,951.63
Product_153,SKU_838,Toys & Games,808.12
Product_179,SKU_835,Home Appliances,106.1
Product_084,SKU_146,Groceries & Gourmet Food,876.99
Product_001,SKU_444,Health & Wellness,856.0
Product_106,SKU_778,Books & Media,524.32
Product_088,SKU_393,Electronics,563.02
Product_067,SKU_629,Home Appliances,66.75
Product_023,SKU_406,Beauty & Personal Care,84.52
Product_045,SKU_425,Automotive,962.08
Product_143,SKU_441,Fashion & Apparel,72.94
Product_165,SKU_185,Groceries & Gourmet Food,470.89
Product_156,SKU_069,Beauty & Personal Care,58.46
Product_041,SKU_260,Automotive,283.13
Product_077,SKU_474,Automotive,54.13
Product_022,SKU_683,Sports & Outdoors,252.32
Product_037,SKU_673,Electronics,375.95
Product_151,SKU_329,Automotive,397.82
Product_025,SKU_070,Toys & Games,766.09
Product_176,SKU_603,Health & Wellness,760.78
Product_081,SKU_774,Books & Media,626.56
Product_041,SKU_122,Automotive,794.95
Product_076,SKU_886,Fashion & Apparel,299.21
Product_073,SKU_659,Beauty & Personal Care,76.31
Product_061,SKU_922,Toys & Games,910.58
Product_062,SKU_568,Toys & Games,177.5
Product_115,SKU_044,Health & Wellness,780.31
Product_091,SKU_446,Books & Media,449.42
Product_189,SKU_141,Beauty & Personal Care,57.01
Product_062,SKU_970,Toys & Games,738.93
Product_154,SKU_854,Toys & Games,567.14
Product_160,SKU_861,Health & Wellness,228.74
Product_186,SKU_537,Toys & Games,86.24
Product_046,SKU_469,Fashion & Apparel,675.33
Product_147,SKU_729,Electronics,902.4
Product_162,SKU_881,Health & Wellness,940.61
Product_117,SKU_258,Books & Media,836.19
Product_132,SKU_116,Health & Wellness,940.92
Product_030,SKU_559,Toys & Games,872.52
Product_104,SKU_073,Fashion & Apparel,549.61
Product_118,SKU_527,Toys & Games,855.73
Product_108,SKU_492,Books & Media,54.51
Product_004,SKU_189,Beauty & Personal Care,34.07
Product_161,SKU_427,Fashion & Apparel,150.69
Product_039,SKU_586,Groceries & Gourmet Food,624.88
Product_042,SKU_200,Books & Media,501.13
Product_066,SKU_800,Home Appliances,937.22
Product_190,SKU_831,Groceries & Gourmet Food,70.69
Product_168,SKU_090,Groceries & Gourmet Food,573.02
Product_182,SKU_249,Beauty & Personal Care,77.85
Product_141,SKU_342,Books & Media,242.98
Product_188,SKU_463,Automotive,172.57
Product_108,SKU_535,Books & Media,786.51
Product_142,SKU_634,Health & Wellness,719.52
Product_001,SKU_314,Health & Wellness,683.23
Product_092,SKU_219,Fashion & Apparel,791.73
Product_182,SKU_577,Beauty & Personal Care,22.9
Product_194,SKU_710,Groceries & Gourmet Food,580.49
Product_191,SKU_597,Books & Media,577.51
Product_186,SKU_944,Toys & Games,234.72
Product_171,SKU_780,Toys & Games,787.91
